order_id,date,customer_id,customer_name,region,category,product,quantity,sales,profit
ORD-00575,2024-05-30,CUST-0002,Saanvi Bose,North,Apparel,Cap,3,118.09,33.15
ORD-01041,2024-07-01,CUST-0115,Ananya Sharma,West,Office Supplies,Stapler,10,190.82,15.59
ORD-01038,2024-08-24,CUST-0108,Ananya Das,South,Furniture,Office Chair,4,577.96,-19.93
ORD-00654,2024-09-02,CUST-0034,Vivaan Iyer,North,Furniture,Standing Desk,1,242.06,78.62
ORD-00777,2024-03-17,CUST-0074,Vivaan Singh,South,Office Supplies,Notebook Pack,1,11.17,0.34
ORD-00736,2024-06-17,CUST-0114,Ishaan Menon,West,Office Supplies,Pen Set,8,111.11,11.01
ORD-00272,2024-10-09,CUST-0079,Kiara Patel,South,Furniture,Standing Desk,6,1433.71,70.51
ORD-00433,2024-07-31,CUST-0072,Aarav Gupta,North,Office Supplies,Pen Set,9,190.53,2.73
ORD-00593,2024-06-11,CUST-0034,Vivaan Iyer,South,Electronics,Mechanical Keyboard,3,303.68,6.53
ORD-00069,2024-12-03,CUST-0113,Kiara Iyer,West,Furniture,Bookshelf,7,1933.46,195.87
ORD-00454,2024-09-09,CUST-0001,Kiara Singh,West,Electronics,USB-C Hub,7,687.12,52.08
ORD-00716,2024-01-23,CUST-0107,Aarav Patel,North,Office Supplies,Pen Set,6,69.2,13.28
ORD-00459,2024-11-03,CUST-0012,Diya Gupta,North,Furniture,Filing Cabinet,3,576.61,58.61
ORD-00590,2024-01-19,CUST-0032,Ishaan Nair,East,Electronics,Wireless Mouse,7,580.06,38.96
ORD-00454,2024-09-09,CUST-0001,Kiara Singh,West,Electronics,USB-C Hub,7,687.12,52.08
ORD-00427,2024-01-04,CUST-0036,Arjun Nair,West,Electronics,Wireless Mouse,2,141.5,29.25
ORD-00233,2024-06-15,CUST-0110,Arjun Mehta,East,Electronics,Webcam,2,98.77,32.35
ORD-00813,2024-01-14,CUST-0043,Aditya Mehta,South,Electronics,Webcam,2,85.89,27.21
ORD-01020,2024-11-18,CUST-0115,Ananya Sharma,North,Electronics,USB-C Hub,2,206.56,-4.6
ORD-00860,2024-11-30,CUST-0073,Kabir Bose,West,Apparel,T-Shirt,5,150.97,24.78
ORD-00978,2024-06-14,CUST-0003,Rohan Kapoor,South,Furniture,Filing Cabinet,4,1043.16,293.83
ORD-00282,2024-01-01,CUST-0079,Kiara Patel,West,Office Supplies,Notebook Pack,3,35.04,6.46
ORD-00312,2024-01-08,CUST-0102,Vivaan Singh,East,Office Supplies,Stapler,2,36.04,12.13
ORD-00918,2024-12-12,CUST-0096,Kabir Kapoor,South,Furniture,Office Chair,2,434.65,
ORD-00576,2024-08-15,CUST-0108,Ananya Das,North,Electronics,27in Monitor,3,224.46,26.59
ORD-00322,2024-06-09,CUST-0008,Kabir Chopra,East,Electronics,Webcam,9,678.61,140.19
ORD-00183,2024-05-05,CUST-0048,Priya Patel,North,Apparel,Cap,8,243.18,81.97
ORD-00288,2024-08-31,CUST-0077,Kabir Menon,North,Furniture,Standing Desk,11,1480.91,47.36
ORD-00526,2024-03-07,CUST-0089,Kiara Rao,East,Office Supplies,Notebook Pack,6,87.02,3.96
ORD-00224,2024-04-16,CUST-0021,Kabir Nair,South,Office Supplies,Stapler,4,54.06,7.93
ORD-01044,2024-05-11,CUST-0025,Kabir Sharma,South,Electronics,Wireless Mouse,4,192.64,-2.11
ORD-00811,2024-12-20,CUST-0046,Aarav Kapoor,North,Furniture,Bookshelf,1,284.83,-13.91
ORD-00497,2024-07-15,CUST-0014,Kiara Rao,West,Apparel,Hoodie,7,207.93,52.56
ORD-00718,2024-04-05,CUST-0113,Kiara Iyer,East,Office Supplies,Printer Paper,4,66.8,5.48
ORD-00433,2024-07-31,CUST-0072,Aarav Gupta,North,Office Supplies,Pen Set,9,190.53,2.73
ORD-00466,2024-08-28,CUST-0068,Zara Verma,West,Furniture,Bookshelf,1,178.98,1.99
ORD-00392,2024-01-27,CUST-0008,Kabir Chopra,North,Apparel,Hoodie,6,112.14,2.91
ORD-00776,2024-02-19,CUST-0091,Tara Sharma,North,Electronics,Mechanical Keyboard,2,133.69,5.33
ORD-00713,2024-09-15,CUST-0087,Rohan Patel,East,Furniture,Bookshelf,3,410.65,9.34
ORD-00668,2024-01-20,CUST-0045,Tara Singh,East,Electronics,Wireless Mouse,10,667.1,-1618.71
ORD-00062,2024-07-21,CUST-0117,Tara Chopra,South,Electronics,USB-C Hub,5,393.48,24.15
ORD-01067,2024-12-28,CUST-0027,Kiara Rao,South,Electronics,27in Monitor,6,535.41,54.73
ORD-00756,2024-09-18,CUST-0052,Saanvi Patel,South,Furniture,Standing Desk,6,1609.23,207.52
ORD-00670,2024-02-23,CUST-0038,Kabir Sharma,West,Furniture,Office Chair,4,613.89,161.5
ORD-00457,2024-07-20,CUST-0090,Priya Nair,East,Furniture,Filing Cabinet,11,2061.43,239.25
ORD-00523,2024-01-14,CUST-0084,Aarav Iyer,South,Office Supplies,Stapler,2,20.87,-0.61
ORD-00236,2024-11-12,CUST-0030,Kabir Mehta,South,Office Supplies,Notebook Pack,8,192.35,51.77
ORD-00514,2024-05-31,CUST-0026,Aditya Mehta,North,Office Supplies,Pen Set,3,53.32,1.59
ORD-00344,2024-06-20,CUST-0004,Zara Nair,,Apparel,Hoodie,11,411.86,69.57
ORD-00059,2024-10-16,CUST-0024,Vivaan Sharma,East,Office Supplies,Printer Paper,11,220.51,18.59
ORD-00568,2024-07-01,CUST-0099,Vihaan Sharma,East,Office Supplies,Printer Paper,1,13.54,1.53
ORD-00855,2024-11-04,CUST-0012,Diya Gupta,West,Office Supplies,Printer Paper,7,164.45,17.98
ORD-00597,2024-01-29,CUST-0101,Ishaan Menon,South,Furniture,Standing Desk,10,2238.41,198.06
ORD-00674,2024-05-15,CUST-0044,Kiara Chopra,East,Office Supplies,Pen Set,4,64.63,12.97
ORD-00516,2024-06-23,CUST-0100,Arjun Verma,North,Office Supplies,Pen Set,4,46.32,13.96
ORD-00874,2024-08-29,CUST-0001,Kiara Singh,West,Office Supplies,Pen Set,1,16.54,-0.6
ORD-00274,2024-05-29,CUST-0089,Kiara Rao,North,Furniture,Standing Desk,1,258.46,17.44
ORD-00269,2024-12-29,CUST-0043,Aditya Mehta,South,Furniture,Bookshelf,2,380.89,33.36
ORD-01030,2024-03-11,CUST-0029,Zara Singh,South,Office Supplies,Pen Set,6,96.11,5.64
ORD-00748,2024-12-14,CUST-0046,Aarav Kapoor,West,Electronics,USB-C Hub,7,405.12,122.07
ORD-00772,2024-08-29,CUST-0108,Ananya Das,North,Office Supplies,Printer Paper,10,181.36,17.81
ORD-00319,2024-09-18,CUST-0120,Zara Chopra,South,Office Supplies,Pen Set,7,155.03,8.83
ORD-00985,2024-08-04,CUST-0054,Saanvi Reddy,West,Electronics,27in Monitor,2,137.55,-3.49
ORD-00707,2024-03-28,CUST-0091,Tara Sharma,North,Apparel,Cap,3,91.82,24.25
ORD-00862,2024-11-08,CUST-0051,Saanvi Reddy,West,Office Supplies,Notebook Pack,4,90.62,24.37
ORD-00691,2024-12-13,CUST-0051,Saanvi Reddy,North,Furniture,Standing Desk,3,878.42,158.58
ORD-00092,2024-03-12,CUST-0103,Tara Rao,North,Furniture,Filing Cabinet,3,482.4,65.57
